"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes","mean_eff_tax","Federal.Minimum.Wage","Governor.is.Democrat..1.Yes.","Personal.income","Poverty.Rate","state_num","State.Minimum.Wage","Unemployment","year","state_fips","SSI.recipients","Employment"
2008,"ND",657.569,3.1,26.9,35030.4,"North Dakota",1,2018,2018,2018,0,1,1,"",NA,5.85,"0",26555.2,11.8,"35",5.85,11.692,2008,38,8.032,359.333
2008,"NE",1796.378,3.3,27.1,99860.1,"Nebraska",1,2021,2021,NA,0,1,0,"",NA,5.85,"0",72259.9,10.6,"28",5.85,32.998,2008,31,23.727,956.759
2008,"NH",1315.906,3.8,33.3,71195.6,"New Hampshire",1,2019,2019,2019,1,1,0,"",NA,5.85,"1",60129,7,"30",6.5,28.677,2008,33,15.811,714.104
2008,"NJ",8711.09,5.4,34.4,573202.7,"New Jersey",1,2018,2018,2018,1,1,0,"",NA,5.85,"1",453018.9,9.2,"31",7.15,240.467,2008,34,159.751,4263.965
2008,"NM",2010.662,4.4,24.7,89012.9,"New Mexico",1,2018,2018,NA,0,1,1,"",NA,5.85,"1",67242.1,19.3,"32",6.5,42.137,2008,35,57.605,902.411
2008,"NV",2653.63,6.9,21.9,152745.6,"Nevada",1,1949,1949,2010,1,1,0,"",NA,5.85,"0",102785.5,10.8,"29",6.33,91.387,2008,32,36.679,1272.187
2008,"NY",19212.436,5.4,31.9,1328095.7,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/",NA,5.85,"1",928501.9,14.2,"33",7.15,525.693,2008,36,658.265,9139.08
2008,"OH",11515.391,6.6,24.1,580389.1,"Ohio",1,2021,2021,2021,1,1,0,"",NA,5.85,"1",421412.1,13.7,"36",7,384.323,2008,39,265.273,5580.843
2008,"OK",3668.976,3.6,22.2,158987.7,"Oklahoma",0,NA,NA,NA,0,0,0,"",NA,5.85,"1",141505.9,13.6,"37",5.85,65.385,2008,40,87.829,1681.081
2008,"OR",3768.748,6.3,28.1,184842.6,"Oregon",1,2019,2019,2019,1,1,0,"",NA,5.85,"1",139695.9,10.6,"38",7.95,127.769,2008,41,66.354,1827.352
2008,"PA",12612.285,5.4,26.3,665148.3,"Pennsylvania",1,2017,2017,2017,1,1,0,"",NA,5.85,"1",523556.7,11,"39",7.15,341.89,2008,42,339.697,6109.645
